resolver,zone,delay,result,query
resolver-unbound-1.16.0,target-com.zone,0,480,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,target-com.zone,200,37564,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,target-com.zone,400,73267,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,target-com.zone,600,112875,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,target-com.zone,800,146301,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,target-com.zone,1000,183365,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,target-com.zone,1200,221180,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,target-com.zone,1400,254769,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,0,395,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,200,38094,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,400,74017,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,600,110242,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,800,149715,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,1000,182520,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,1200,218838,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,target-com.zone,1400,255128,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,0,275,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,200,6929,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,400,6959,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,600,6670,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,800,6461,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,1000,6040,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,1200,6032,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,target-com.zone,1400,5644,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,0,180,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,200,17984,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,400,34395,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,600,51187,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,800,68026,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,1000,84721,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,1200,101647,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,target-com.zone,1400,118362,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
