resolver,zone,delay,result
resolver-bind-9.18.4,1,0,1
resolver-bind-9.18.4,10,0,10
resolver-bind-9.18.4,2,0,2
resolver-bind-9.18.4,3,0,3
resolver-bind-9.18.4,4,0,4
resolver-bind-9.18.4,5,0,5
resolver-bind-9.18.4,6,0,6
resolver-bind-9.18.4,7,0,7
resolver-bind-9.18.4,8,0,8
resolver-bind-9.18.4,9,0,9
resolver-unbound-1.10.0,1,0,18
resolver-unbound-1.10.0,10,0,180
resolver-unbound-1.10.0,2,0,36
resolver-unbound-1.10.0,3,0,54
resolver-unbound-1.10.0,4,0,72
resolver-unbound-1.10.0,5,0,90
resolver-unbound-1.10.0,6,0,108
resolver-unbound-1.10.0,7,0,126
resolver-unbound-1.10.0,8,0,144
resolver-unbound-1.10.0,9,0,162
resolver-unbound-1.16.0,1,0,24
resolver-unbound-1.16.0,10,0,72
resolver-unbound-1.16.0,2,0,49
resolver-unbound-1.16.0,3,0,72
resolver-unbound-1.16.0,4,0,72
resolver-unbound-1.16.0,5,0,72
resolver-unbound-1.16.0,6,0,72
resolver-unbound-1.16.0,7,0,79
resolver-unbound-1.16.0,8,0,72
resolver-unbound-1.16.0,9,0,72
resolver-powerDNS-4.7.3,1,0,11
resolver-powerDNS-4.7.3,10,0,95
resolver-powerDNS-4.7.3,2,0,22
resolver-powerDNS-4.7.3,3,0,33
resolver-powerDNS-4.7.3,4,0,44
resolver-powerDNS-4.7.3,5,0,55
resolver-powerDNS-4.7.3,6,0,66
resolver-powerDNS-4.7.3,7,0,77
resolver-powerDNS-4.7.3,8,0,88
resolver-powerDNS-4.7.3,9,0,95
